remove_blur_effect,final_train_loss,final_val_loss,final_val_accuracy,final_lambdahat,learning_coeff_at_blur_removal,train_loss_at_blur_removal,val_loss_at_blur_removal,val_accuracy_at_blur_removal
0,0.00846882634516329,0.5310265753842607,88.17,4821.23974609375,-671.6787109375,2.0176907027773843,2.0349045252498192,32.49
20,0.006162822921224453,0.6291246998913681,87.39,5058.2109375,775.0138549804688,0.9977418156840917,2.1397292885599257,40.71
40,0.006533147885387911,0.6836853234828273,85.91,5094.76171875,1658.8792724609375,0.8034748881674179,1.5915261137334606,52.83
60,0.007243919696913713,0.8018550646455982,83.32,5350.06005859375,1476.467041015625,0.6269964206096766,1.8218830431563944,49.31
80,0.009000124611363024,0.9192707304713092,81.18,5424.09716796875,3105.791748046875,0.4745747415763338,1.853596511520917,51.88
100,0.009971619304686385,1.0338995720766768,78.63,5524.11865234375,3525.210205078125,0.30200694413746104,2.3035038377665265,50.88
120,0.01089006019375094,1.0787526867057704,78.05,5517.48095703125,3664.712158203125,0.17011059948321802,2.2283470328850083,53.02
140,0.013448892473278906,1.0938013452517836,77.47,5519.77490234375,4475.4150390625,0.08537560558932669,2.3642906855933274,52.62
160,0.015588043646439148,1.102192072174217,77.32,5562.46435546875,4627.8369140625,0.04978021839752679,2.336503504197809,55.22
180,0.020101735183773825,1.085639091232155,76.84,5588.1328125,5302.60693359375,0.03266245747685356,2.4390033770211135,53.51
200,0.024493327380998818,1.0808346165886409,77.34,5654.84912109375,4833.6865234375,0.02362093422919169,2.3136398611189444,56.79
220,0.036274348719097925,1.0944565315789814,76.97,5546.4013671875,4673.91357421875,0.020000723059601187,2.106534779826297,57.13
240,0.019176856456253,2.5434324952620493,51.61,5317.73583984375,,,,
